CustomerKey;Nome;Sobrenome;Nome Completo;Genero;DatPrimeiraCompra;Cidade do Cliente
11060;Jon;Zhou;Jon Zhou;Masculino;2018-03-19;Warrnambool
11061;Todd;Gao;Todd Gao;Masculino;2018-03-13;Gold Coast
11062;Noah;Powell;Noah Powell;Masculino;2020-01-07;Portland
11063;Angela;Murphy;Angela Murphy;Feminino;2020-01-12;Redmond
11064;Chase;Reed;Chase Reed;Masculino;2020-01-25;Downey
11065;Jessica;Henderson;Jessica Henderson;Feminino;2020-02-10;La Jolla
11066;Grace;Butler;Grace Butler;Feminino;2020-05-31;Lebanon
11067;Caleb;Carter;Caleb Carter;Masculino;2020-08-18;Port Orchard
11068;Tiffany;Liang;Tiffany Liang;Feminino;2020-04-30;Warrnambool
11069;Carolyn;Navarro;Carolyn Navarro;Feminino;2018-04-17;Gold Coast
11070;Willie;Raji;Willie Raji;Masculino;2018-04-28;Sunbury
11071;Linda;Serrano;Linda Serrano;Feminino;2020-03-01;Hawthorne
11072;Casey;Luo;Casey Luo;Feminino;2018-03-31;St. Leonards
11073;Amy;Ye;Amy Ye;Feminino;2020-03-23;Springwood
11074;Levi;Arun;Levi Arun;Masculino;2020-03-23;Cloverdale
11075;Felicia;Jimenez;Felicia Jimenez;Feminino;2018-04-28;Bendigo
11076;Blake;Anderson;Blake Anderson;Masculino;2018-04-21;Wollongong
11077;Leah;Ye;Leah Ye;Feminino;2018-04-15;Melton
11078;Gina;Martin;Gina Martin;Feminino;2020-02-15;Cliffside
11079;Donald;Gonzalez;Donald Gonzalez;Masculino;2020-03-15;Geelong
11080;Damien;Chander;Damien Chander;Masculino;2018-04-10;Perth
11081;Savannah;Baker;Savannah Baker;Feminino;2020-02-12;Concord
11082;Angela;Butler;Angela Butler;Feminino;2020-01-22;Fremont
11083;Alyssa;Cox;Alyssa Cox;Feminino;2020-01-06;Lincoln Acres
11084;Lucas;Phillips;Lucas Phillips;Masculino;2020-01-04;Lebanon
11085;Emily;Johnson;Emily Johnson;Feminino;2020-12-06;Newport Beach
11086;Ryan;Brown;Ryan Brown;Masculino;2020-07-02;Santa Monica
11087;Tamara;Liang;Tamara Liang;Feminino;2020-02-25;Chula Vista
11088;Hunter;Davis;Hunter Davis;Masculino;2020-01-13;San Diego
11089;Abigail;Price;Abigail Price;Feminino;2019-12-29;Long Beach
11090;Trevor;Bryant;Trevor Bryant;Masculino;2018-08-07;Los Angeles
11091;Dalton;Perez;Dalton Perez;Masculino;2020-01-29;Haney
11092;Cheryl;Diaz;Cheryl Diaz;Feminino;2018-04-08;East Brisbane
11093;Aimee;He;Aimee He;Feminino;2018-04-07;Wollongong
11094;Cedric;Ma;Cedric Ma;Masculino;2020-04-07;Cranbourne
11095;Chad;Kumar;Chad Kumar;Masculino;2018-04-01;Port Macquarie
11096;Andrés;Anand;Andrés Anand;Masculino;2018-04-11;North Sydney
11097;Edwin;Nara;Edwin Nara;Masculino;2018-04-04;Warrnambool
11098;Mallory;Rubio;Mallory Rubio;Feminino;2020-02-11;Rhodes
11099;Adam;Ross;Adam Ross;Masculino;2018-04-07;Port Macquarie
11100;Latasha;Navarro;Latasha Navarro;Feminino;2018-04-16;Cloverdale
11101;Abby;Sai;Abby Sai;Feminino;2018-04-29;Cranbourne
11102;Julia;Nelson;Julia Nelson;Feminino;2020-07-16;Sydney
11103;Cassie;Chande;Cassie Chande;Feminino;2018-04-15;Darlinghurst
11104;Edgar;Sara;Edgar Sara;Masculino;2018-05-04;Gold Coast
11105;Candace;Fernandez;Candace Fernandez;Feminino;2018-05-14;Matraville
11106;Jessie;Liu;Jessie Liu;Masculino;2018-05-18;Warrnambool
11107;Bianca;Lin;Bianca Lin;Feminino;2018-05-01;St. Leonards
11108;Kari;Alvarez;Kari Alvarez;Feminino;2018-05-03;Port Macquarie
11109;Ruben;Kapoor;Ruben Kapoor;Masculino;2018-05-10;South Melbourne
11110;Curtis;Yang;Curtis Yang;Masculino;2018-05-01;Darlinghurst
11111;Meredith;Gutierrez;Meredith Gutierrez;Feminino;2018-05-20;Geelong
11112;Crystal;Wang;Crystal Wang;Feminino;2018-05-25;Hervey Bay
11113;Micheal;Blanco;Micheal Blanco;Masculino;2020-02-01;Perth
11114;Leslie;Moreno;Leslie Moreno;Feminino;2020-03-18;Rhodes
11115;Alvin;Cai;Alvin Cai;Masculino;2020-02-10;St. Leonards
11116;Clinton;Carlson;Clinton Carlson;Masculino;2020-03-15;Sydney
11117;April;Deng;April Deng;Feminino;2018-05-06;Matraville
11118;Alvin;Zeng;Alvin Zeng;Masculino;2020-07-10;Lavender Bay
11119;Evan;James;Evan James;Masculino;2020-02-03;Port Macquarie
11120;Beth;Jiménez;Beth Jiménez;Feminino;2018-05-14;Sydney
11121;Orlando;Suarez;Orlando Suarez;Masculino;2020-06-24;Newcastle
11122;Byron;Vazquez;Byron Vazquez;Masculino;2020-02-21;North Sydney
11123;Philip;Alvarez;Philip Alvarez;Masculino;2020-04-17;Sunbury
11124;Ross;Jordan;Ross Jordan;Masculino;2018-05-05;Warrnambool
11125;Dana;Navarro;Dana Navarro;Feminino;2020-01-31;Seaford
11126;Shaun;Carson;Shaun Carson;Masculino;2018-05-28;North Ryde
11127;Jan;Edwards;Jan Edwards;Feminino;2020-04-10;San Gabriel
11128;Samantha;Long;Samantha Long;Feminino;2020-06-19;Renton
11129;Julia;Wright;Julia Wright;Feminino;2018-08-06;Sedro Woolley
11130;Caroline;Russell;Caroline Russell;Feminino;2020-12-09;Lebanon
11131;Amanda;Rivera;Amanda Rivera;Feminino;2020-10-18;Haney
11132;Melissa;Richardson;Melissa Richardson;Feminino;2020-04-09;Langford
11133;Angela;Griffin;Angela Griffin;Feminino;2020-12-30;Lake Oswego
11134;Larry;Townsend;Larry Townsend;Masculino;2018-05-03;Perth
11135;Marcus;Harris;Marcus Harris;Masculino;2020-04-18;Burlingame
11136;Brianna;Morgan;Brianna Morgan;Feminino;2020-01-03;Metchosin
11137;Jasmine;Taylor;Jasmine Taylor;Feminino;2020-07-31;Spokane
11138;Lauren;Davis;Lauren Davis;Feminino;2020-09-19;Glendale
11139;Tanya;Moreno;Tanya Moreno;Feminino;2020-09-14;Cloverdale
11140;Javier;Alvarez;Javier Alvarez;Masculino;2020-03-19;Burbank
11141;Nicole;Ramirez;Nicole Ramirez;Feminino;2020-05-16;Daly City
11142;Eduardo;Patterson;Eduardo Patterson;Masculino;2020-02-13;Langford
11143;Jonathan;Henderson;Jonathan Henderson;Masculino;2020-06-15;Lakewood
11144;Edward;Hernandez;Edward Hernandez;Masculino;2020-01-25;Ballard
11145;Jasmine;Coleman;Jasmine Coleman;Feminino;2020-01-25;Beaverton
11146;Karla;Goel;Karla Goel;Feminino;2020-02-05;Matraville
11147;Ernest;Wu;Ernest Wu;Masculino;2018-05-13;Warrnambool
11148;Ross;Vazquez;Ross Vazquez;Masculino;2020-03-07;East Brisbane
11149;Theodore;Gill;Theodore Gill;Masculino;2020-06-04;Hervey Bay
11150;Russell;Shen;Russell Shen;Masculino;2020-03-27;Sunbury
11151;Melinda;Gill;Melinda Gill;Feminino;2018-05-15;Sydney
11152;James;Williams;James Williams;Masculino;2020-01-09;Puyallup
11153;Angela;James;Angela James;Feminino;2020-03-29;Renton
11154;Megan;Walker;Megan Walker;Feminino;2020-01-10;Woodburn
11155;Hunter;Robinson;Hunter Robinson;Masculino;2020-01-06;Burbank
11156;Maria;Roberts;Maria Roberts;Feminino;2020-01-08;Lakewood
11157;Hannah;Long;Hannah Long;Feminino;2020-07-24;Tacoma
11158;Jason;Wright;Jason Wright;Masculino;2020-01-19;San Gabriel
11159;Brianna;Hughes;Brianna Hughes;Feminino;2020-09-08;Woodland Hills
11160;Maurice;Tang;Maurice Tang;Masculino;2020-02-21;Concord
11161;Emily;Wood;Emily Wood;Feminino;2020-06-01;Concord
11162;Chase;Cox;Chase Cox;Masculino;2020-02-18;La Jolla
11163;Gabriel;Wang;Gabriel Wang;Masculino;2020-05-01;Spring Valley
11164;Devin;Brooks;Devin Brooks;Masculino;2020-04-27;Torrance
11165;Jocelyn;Alexander;Jocelyn Alexander;Feminino;2020-05-25;Oakland
11166;Ashley;Martinez;Ashley Martinez;Feminino;2020-10-14;Olympia
11167;Jasmine;Barnes;Jasmine Barnes;Feminino;2020-01-07;Issaquah
11168;David;Rodriguez;David Rodriguez;Masculino;2020-01-15;Oakland
11169;Bryce;Richardson;Bryce Richardson;Masculino;2020-05-26;Coronado
11170;Carol;Howard;Carol Howard;Feminino;2020-08-26;Burien
11171;Jonathan;Hill;Jonathan Hill;Masculino;2018-08-20;Woodland Hills
11172;Gabrielle;Adams;Gabrielle Adams;Feminino;2020-05-03;Lynnwood
11173;Sarah;Thomas;Sarah Thomas;Feminino;2020-03-02;W. Linn
11174;Nicholas;Robinson;Nicholas Robinson;Masculino;2020-07-13;Los Angeles
11175;Luis;Wang;Luis Wang;Masculino;2018-08-28;Beverly Hills
11176;Mason;Roberts;Mason Roberts;Masculino;2020-02-02;Haney
11177;Jose;Flores;Jose Flores;Masculino;2020-03-29;San Diego
11178;Nathan;Johnson;Nathan Johnson;Masculino;2020-02-21;Lakewood
11179;Molly;Rodriguez;Molly Rodriguez;Feminino;2020-03-12;Beverly Hills
11180;April;Anand;April Anand;Feminino;2020-03-17;Chula Vista
11181;Devin;Martin;Devin Martin;Masculino;2020-05-07;Los Angeles
11182;Stephanie;Torres;Stephanie Torres;Feminino;2020-08-28;Sedro Woolley
11183;Jasmine;Lee;Jasmine Lee;Feminino;2020-04-30;Santa Cruz
11184;Meghan;Hernandez;Meghan Hernandez;Feminino;2020-08-10;Concord
11185;Ashley;Henderson;Ashley Henderson;Feminino;2020-02-21;Metchosin
11186;Sarah;Price;Sarah Price;Feminino;2020-10-18;Palo Alto
11187;Jennifer;Cooper;Jennifer Cooper;Feminino;2020-04-03;Burien
11188;Catherine;Morris;Catherine Morris;Feminino;2020-11-01;San Gabriel
11189;Lawrence;Blanco;Lawrence Blanco;Masculino;2018-08-26;Bellingham
11190;Carson;Bryant;Carson Bryant;Masculino;2020-08-28;Beverly Hills
11191;Kristi;Perez;Kristi Perez;Feminino;2018-08-11;Colma
11192;James;Brown;James Brown;Masculino;2020-06-23;Seattle
11193;Ian;Gray;Ian Gray;Masculino;2020-02-25;Woodburn
11194;Jacqueline;Price;Jacqueline Price;Feminino;2020-03-13;Palo Alto
11195;Megan;Henderson;Megan Henderson;Feminino;2020-04-14;Renton
11196;Alfredo;Romero;Alfredo Romero;Masculino;2020-03-03;Beaverton
11197;Andrea;Morris;Andrea Morris;Feminino;2020-05-02;Seattle
11198;Brooke;Sanders;Brooke Sanders;Feminino;2020-02-05;Santa Cruz
11199;Jacqueline;Bennett;Jacqueline Bennett;Feminino;2020-03-18;Burlingame
11200;Jason;Griffin;Jason Griffin;Masculino;2020-02-07;Victoria
11201;Amanda;Foster;Amanda Foster;Feminino;2020-07-01;Santa Monica
11202;Alexia;Price;Alexia Price;Feminino;2020-09-15;Lakewood
11203;Luis;Diaz;Luis Diaz;Masculino;2020-02-20;Port Hammond
11204;Destiny;Rivera;Destiny Rivera;Feminino;2020-08-09;Beaverton
11205;Abby;Fernandez;Abby Fernandez;Feminino;2020-07-27;Burien
11206;Blake;Flores;Blake Flores;Masculino;2020-05-11;Lynnwood
11207;Danielle;Cox;Danielle Cox;Feminino;2020-01-31;Renton
11208;Maria;Reed;Maria Reed;Feminino;2020-03-04;Glendale
11209;Allison;Evans;Allison Evans;Feminino;2020-03-25;Lincoln Acres
11210;Edward;Wood;Edward Wood;Masculino;2020-05-06;West Covina
11211;Samantha;Russell;Samantha Russell;Feminino;2020-02-01;Haney
11212;Chloe;Campbell;Chloe Campbell;Feminino;2020-01-30;Metchosin
11213;Stephanie;Murphy;Stephanie Murphy;Feminino;2020-03-28;Edmonds
11214;Charles;Miller;Charles Miller;Masculino;2020-08-14;Milwaukie
11215;Ana;Perry;Ana Perry;Feminino;2020-02-15;Royal Oak
11216;Jasmine;Torres;Jasmine Torres;Feminino;2018-08-15;Portland
11217;Natalie;Adams;Natalie Adams;Feminino;2018-08-10;Portland
11218;Olivia;Brown;Olivia Brown;Feminino;2020-02-28;Tacoma
11219;Charles;Cook;Charles Cook;Masculino;2020-10-29;Woodburn
11220;Erica;Huang;Erica Huang;Feminino;2020-03-14;Colma
11221;Nathan;Perry;Nathan Perry;Masculino;2020-04-07;Lakewood
11222;Alexandra;Rivera;Alexandra Rivera;Feminino;2020-11-01;Santa Monica
11223;Hailey;Patterson;Hailey Patterson;Feminino;2020-01-29;Langley
11224;Tiffany;Li;Tiffany Li;Feminino;2018-08-07;Burien
11225;Madison;Lee;Madison Lee;Feminino;2020-06-22;Renton
11226;Sydney;Ross;Sydney Ross;Feminino;2020-02-21;W. Linn
11227;Marshall;Chavez;Marshall Chavez;Masculino;2018-08-03;Colma
11228;Ashley;Jones;Ashley Jones;Feminino;2020-10-25;El Cajon
11229;Adrian;Stewart;Adrian Stewart;Masculino;2020-07-27;Redwood City
11230;Amber;Turner;Amber Turner;Feminino;2020-07-16;Santa Monica
11231;Dennis;Zhang;Dennis Zhang;Masculino;2020-02-10;Bremerton
11232;Hailey;Bryant;Hailey Bryant;Feminino;2020-09-20;Everett
11233;Todd;Li;Todd Li;Masculino;2020-02-08;Berkeley
11234;Anna;Griffin;Anna Griffin;Feminino;2020-02-08;Long Beach
11235;Angel;Stewart;Angel Stewart;Masculino;2020-07-04;Ballard
11236;Jeremy;Butler;Jeremy Butler;Masculino;2020-10-03;Bellingham
11237;Clarence;Anand;Clarence Anand;Masculino;2018-09-05;Solingen
11238;Mayra;Prasad;Mayra Prasad;Feminino;2018-01-06;Birmingham
11239;Latoya;Goel;Latoya Goel;Feminino;2018-01-19;London
11240;Anne;Hernandez;Anne Hernandez;Feminino;2018-02-27;Watford
11241;Lisa;Cai;Lisa Cai;Feminino;2019-09-10;Les Ulis
11242;Larry;Munoz;Larry Munoz;Masculino;2019-09-19;Versailles
11243;Robin;Alvarez;Robin Alvarez;Feminino;2018-02-21;Esher-Molesey
11244;Alexis;Coleman;Alexis Coleman;Feminino;2018-02-12;Runcorn
11245;Ricky;Vazquez;Ricky Vazquez;Masculino;2018-09-26;Hamburg
11246;Latasha;Rubio;Latasha Rubio;Feminino;2018-10-03;Hamburg
11247;Claudia;Zhou;Claudia Zhou;Feminino;2018-02-18;Lancaster
11248;Tristan;Alexander;Tristan Alexander;Masculino;2020-07-14;Saint-Denis
11249;Cindy;Patel;Cindy Patel;Feminino;2018-10-09;Sulzbach Taunus
11250;Shannon;Liu;Shannon Liu;Feminino;2018-03-17;Woolston
11251;Xavier;Long;Xavier Long;Masculino;2020-10-18;Haney
11252;Nicholas;Thompson;Nicholas Thompson;Masculino;2018-08-14;Lemon Grove
11253;José;Hernandez;José Hernandez;Masculino;2020-03-01;Victoria
11254;Johnathan;Vance;Johnathan Vance;Masculino;2020-11-23;Burien
11255;Colin;Lin;Colin Lin;Masculino;2020-02-23;Burien
11256;Katelyn;Hernandez;Katelyn Hernandez;Feminino;2020-04-15;Lynnwood
11257;Jacqueline;Powell;Jacqueline Powell;Feminino;2018-08-24;Newport Beach
11258;Xavier;Hill;Xavier Hill;Masculino;2020-05-21;Palo Alto
11259;Victoria;Stewart;Victoria Stewart;Feminino;2018-09-04;Salem
11260;Katelyn;Kelly;Katelyn Kelly;Feminino;2020-02-05;Burlingame
11261;Stephanie;Collins;Stephanie Collins;Feminino;2018-09-27;San Diego
11262;Jennifer;Simmons;Jennifer Simmons;Feminino;2020-02-27;Port Hammond
11263;Trinity;Richardson;Trinity Richardson;Feminino;2018-08-29;Burien
11264;Eduardo;Martin;Eduardo Martin;Masculino;2020-01-02;Issaquah
11265;Elizabeth;Jones;Elizabeth Jones;Feminino;2020-01-03;Kirkland
11266;Taylor;Howard;Taylor Howard;Feminino;2018-09-10;Port Orchard
11267;David;Diaz;David Diaz;Masculino;2018-09-17;Burlingame
11268;Katelyn;Carter;Katelyn Carter;Feminino;2020-05-29;Coronado
11269;Ryan;Foster;Ryan Foster;Masculino;2020-08-22;Daly City
11270;Robert;Lee;Robert Lee;Masculino;2018-09-10;Lakewood
11271;Danielle;Reed;Danielle Reed;Feminino;2018-09-27;San Francisco
11272;Lauren;Martinez;Lauren Martinez;Feminino;2018-09-19;Beverly Hills
11273;Nathan;Lal;Nathan Lal;Masculino;2020-05-14;La Jolla
11274;Kyle;Foster;Kyle Foster;Masculino;2018-08-29;Bellingham
11275;Jenny;Rai;Jenny Rai;Feminino;2018-08-30;Colma
11276;Nancy;Chapman;Nancy Chapman;Feminino;2020-01-29;Cliffside
11277;Charles;Jackson;Charles Jackson;Masculino;2020-02-02;Royal Oak
11278;Jonathan;Phillips;Jonathan Phillips;Masculino;2018-09-16;Edmonds
11279;Amanda;Cook;Amanda Cook;Feminino;2020-03-03;Everett
11280;Robert;Collins;Robert Collins;Masculino;2020-07-01;Lynnwood
11281;Megan;Barnes;Megan Barnes;Feminino;2018-09-13;Burbank
11282;Christian;Thomas;Christian Thomas;Masculino;2018-08-31;Burien
11283;Arturo;Lal;Arturo Lal;Masculino;2020-05-29;Berkeley
11284;Theresa;Serrano;Theresa Serrano;Feminino;2020-02-06;Chula Vista
11285;Jeremy;Anderson;Jeremy Anderson;Masculino;2020-07-27;Fremont
11286;Hunter;Griffin;Hunter Griffin;Masculino;2018-09-21;Torrance
11287;Henry;Garcia;Henry Garcia;Masculino;2020-01-29;Cliffside
11288;Cindy;Sanchez;Cindy Sanchez;Feminino;2020-03-05;Burbank
11289;Maria;Carter;Maria Carter;Feminino;2018-09-08;Downey
11290;Katelyn;Sanchez;Katelyn Sanchez;Feminino;2018-09-20;Lakewood
11291;Jenna;Wright;Jenna Wright;Feminino;2018-09-04;Lemon Grove
11292;Seth;Phillips;Seth Phillips;Masculino;2018-09-15;San Gabriel
11293;Luke;Long;Luke Long;Masculino;2020-02-24;Port Orchard
11294;Dalton;Clark;Dalton Clark;Masculino;2020-09-25;Issaquah
11295;Taylor;Lewis;Taylor Lewis;Feminino;2018-09-25;Concord
11296;Haley;Richardson;Haley Richardson;Feminino;2018-09-01;Everett
11297;Noah;Coleman;Noah Coleman;Masculino;2018-09-26;Burbank
11298;Jon;Luo;Jon Luo;Masculino;2018-09-12;Chula Vista
11299;Orlando;Vazquez;Orlando Vazquez;Masculino;2018-09-26;Burbank
11300;Fernando;Barnes;Fernando Barnes;Masculino;2020-01-31;N. Vancouver
11301;Cameron;Rodriguez;Cameron Rodriguez;Masculino;2020-06-09;Ballard
11302;Spencer;Russell;Spencer Russell;Masculino;2018-09-06;Corvallis
11303;Julia;Coleman;Julia Coleman;Feminino;2018-09-02;Edmonds
11304;Julia;Garcia;Julia Garcia;Feminino;2020-03-20;Portland
11305;Sean;Evans;Sean Evans;Masculino;2020-03-25;Chula Vista
11306;Micah;Zhou;Micah Zhou;Masculino;2020-06-30;Coronado
11307;Hunter;Rodriguez;Hunter Rodriguez;Masculino;2018-09-04;Daly City
11308;Ian;Gonzales;Ian Gonzales;Masculino;2020-09-07;Oregon City
11309;Victoria;Lewis;Victoria Lewis;Feminino;2020-07-09;Beaverton
11310;Erin;Sanders;Erin Sanders;Feminino;2020-08-12;San Francisco
11311;Gabrielle;Lopez;Gabrielle Lopez;Feminino;2020-04-18;Lynnwood
11312;Sara;Richardson;Sara Richardson;Feminino;2020-05-17;Lynnwood
11313;Trevor;Jenkins;Trevor Jenkins;Masculino;2020-05-07;Port Orchard
11314;Mya;Flores;Mya Flores;Feminino;2020-02-25;Issaquah
11315;Hailey;Ward;Hailey Ward;Feminino;2020-05-20;Port Orchard
11316;Luke;Allen;Luke Allen;Masculino;2020-01-12;Langford
11317;Victoria;Russell;Victoria Russell;Feminino;2018-09-01;Salem
11318;Jessica;Wilson;Jessica Wilson;Feminino;2020-10-17;Edmonds
11319;Jade;Bailey;Jade Bailey;Feminino;2018-09-09;Oakland
11320;Morgan;Hill;Morgan Hill;Feminino;2020-06-15;Glendale
11321;Terrance;Raman;Terrance Raman;Masculino;2020-02-23;Burien
11322;Sydney;Garcia;Sydney Garcia;Feminino;2020-03-24;Bremerton
11323;Jose;Patterson;Jose Patterson;Masculino;2018-09-10;Daly City
11324;Zachary;Anderson;Zachary Anderson;Masculino;2018-09-26;Glendale
11325;Elijah;Ross;Elijah Ross;Masculino;2018-09-19;Seattle
11326;Rafael;Xie;Rafael Xie;Masculino;2018-09-15;Beverly Hills
11327;Jaime;Moreno;Jaime Moreno;Masculino;2018-09-26;Burbank
11328;Julian;Griffin;Julian Griffin;Masculino;2020-01-05;Newton
11329;Andy;Alvarez;Andy Alvarez;Masculino;2018-09-25;Concord
11330;Ryan;Thompson;Ryan Thompson;Masculino;2020-02-12;Oak Bay
11331;Samantha;Jenkins;Samantha Jenkins;Feminino;2020-02-07;Shawnee
11332;Deanna;Ramos;Deanna Ramos;Feminino;2018-10-15;Berlin
11333;Emily;Miller;Emily Miller;Feminino;2018-03-21;Newcastle upon Tyne
11334;Nicole;Brown;Nicole Brown;Feminino;2018-03-04;Stoke-on-Trent
11335;Carla;Raman;Carla Raman;Feminino;2018-10-23;Hof
11336;Shaun;Raji;Shaun Raji;Masculino;2019-09-27;Paris
11337;Jerome;Romero;Jerome Romero;Masculino;2018-03-09;Watford
11338;Frank;Navarro;Frank Navarro;Masculino;2018-10-11;Bonn
11339;Dennis;She;Dennis She;Masculino;2019-10-07;Paris
11340;Melody;Munoz;Melody Munoz;Feminino;2019-10-27;Paris
11341;Randy;Zeng;Randy Zeng;Masculino;2018-04-11;Cheltenham
11342;Marshall;Wang;Marshall Wang;Masculino;2020-07-12;Boulogne-sur-Mer
11343;Arthur;Carlson;Arthur Carlson;Masculino;2018-04-04;Oxon
11344;Jessie;Jimenez;Jessie Jimenez;Feminino;2018-05-13;Oxford
11345;Robin;Ramos;Robin Ramos;Feminino;2019-10-22;Tremblay-en-France
11346;Deanna;Gutierrez;Deanna Gutierrez;Feminino;2019-10-01;Paris
11347;Roy;Navarro;Roy Navarro;Masculino;2020-03-16;Braunschweig
11348;Shawn;Rai;Shawn Rai;Masculino;2020-03-31;Paderborn
11349;Mindy;Luo;Mindy Luo;Feminino;2021-01-13;München
11350;Cara;Zhou;Cara Zhou;Feminino;2020-02-05;Peterborough
11351;Anne;Ramos;Anne Ramos;Feminino;2018-06-12;London
11352;Raymond;Rodriguez;Raymond Rodriguez;Masculino;2020-05-01;Pantin
11353;Carrie;Ortega;Carrie Ortega;Feminino;2018-06-12;Warrington
11354;Deanna;Suarez;Deanna Suarez;Feminino;2020-12-03;Grevenbroich
11355;Roberto;Gutierrez;Roberto Gutierrez;Masculino;2020-09-26;Wokingham
11356;Terrence;Carson;Terrence Carson;Masculino;2018-05-10;Lavender Bay
11357;Ramon;Ye;Ramon Ye;Masculino;2018-06-18;Caloundra
11358;Cynthia;Malhotra;Cynthia Malhotra;Feminino;2018-06-28;Coffs Harbour
